t	s	v	a
2,7400	1,0725	-0,7823	-9,5030
2,7600	1,0548	-0,9323	-7,0164
2,7800	1,0352	-1,0409	-5,7339
2,8000	1,0132	-1,1482	-5,3244
2,8200	0,9892	-1,2544	-5,2220
2,8400	0,9630	-1,3577	-5,1054
2,8600	0,9348	-1,4581	-4,9881
2,8800	0,9046	-1,5572	-4,8841
2,9000	0,8726	-1,6535	-4,6597
2,9200	0,8384	-1,7484	-4,2900
2,9400	0,8026	-1,8260	-3,9943
2,9600	0,7648	-1,8995	-3,9983
2,9800	0,7271	-1,9818	-4,2310
3,0000	0,6860	-2,0725	-4,1917
3,0200	0,6436	-2,1608	-3,8245
3,0400	0,5996	-2,2235	-3,3811
3,0600	0,5542	-2,2897	-2,9687
3,0800	0,5086	-2,3493	-2,4762
3,1000	0,4598	-2,3912	-1,9107
3,1200	0,4121	-2,4191	-1,6486
3,1400	0,3638	-2,4491	-1,6585